Continente,Pais,Estado,Pais Migrante,Via,Ano,Mes,Chegadas
Africa,Quenia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Africa,Tunisia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Africa,Outros paises,Acre,Brasil,Terrestre,2017,Fevereiro,0
America Central e Caribe,Costa Rica,Acre,Brasil,Terrestre,2017,Fevereiro,1
America Central e Caribe,Cuba,Acre,Brasil,Terrestre,2017,Fevereiro,0
America Central e Caribe,El Salvador,Acre,Brasil,Terrestre,2017,Fevereiro,0
America Central e Caribe,Guatemala,Acre,Brasil,Terrestre,2017,Fevereiro,1
America Central e Caribe,Haiti,Acre,Brasil,Terrestre,2017,Fevereiro,0
America Central e Caribe,Honduras,Acre,Brasil,Terrestre,2017,Fevereiro,0
America Central e Caribe,Nicaragua,Acre,Brasil,Terrestre,2017,Fevereiro,0
America Central e Caribe,Panama,Acre,Brasil,Terrestre,2017,Fevereiro,0
America Central e Caribe,Republica Dominicana,Acre,Brasil,Terrestre,2017,Fevereiro,0
America Central e Caribe,Trinidad e Tobago,Acre,Brasil,Terrestre,2017,Fevereiro,0
America Central e Caribe,Outros paises,Acre,Brasil,Terrestre,2017,Fevereiro,0
America do Norte,Canada,Acre,Brasil,Terrestre,2017,Fevereiro,1
America do Norte,Estados Unidos,Acre,Brasil,Terrestre,2017,Fevereiro,7
America do Norte,Mexico,Acre,Brasil,Terrestre,2017,Fevereiro,2
America do Sul,Argentina,Acre,Brasil,Terrestre,2017,Fevereiro,26
America do Sul,Bolivia,Acre,Brasil,Terrestre,2017,Fevereiro,873
America do Sul,Chile,Acre,Brasil,Terrestre,2017,Fevereiro,23
America do Sul,Colombia,Acre,Brasil,Terrestre,2017,Fevereiro,27
America do Sul,Equador,Acre,Brasil,Terrestre,2017,Fevereiro,14
America do Sul,Guiana,Acre,Brasil,Terrestre,2017,Fevereiro,0
America do Sul,Guiana Francesa,Acre,Brasil,Terrestre,2017,Fevereiro,0
America do Sul,Paraguai,Acre,Brasil,Terrestre,2017,Fevereiro,1
America do Sul,Peru,Acre,Brasil,Terrestre,2017,Fevereiro,1413
America do Sul,Suriname,Acre,Brasil,Terrestre,2017,Fevereiro,0
America do Sul,Uruguai,Acre,Brasil,Terrestre,2017,Fevereiro,2
America do Sul,Venezuela,Acre,Brasil,Terrestre,2017,Fevereiro,7
Asia,Arabia Saudita,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Bangladesh,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,China,Acre,Brasil,Terrestre,2017,Fevereiro,1
Asia,Cingapura,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Filipinas,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,India,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Indonesia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Ira,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Israel,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Japao,Acre,Brasil,Terrestre,2017,Fevereiro,1
Asia,Libano,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Malasia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Paquistao,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Republica da Coreia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Siria,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Tailandia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Taiwan,Acre,Brasil,Terrestre,2017,Fevereiro,0
Asia,Outros paises,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Alemanha,Acre,Brasil,Terrestre,2017,Fevereiro,8
Europa,Austria,Acre,Brasil,Terrestre,2017,Fevereiro,1
Europa,Belgica,Acre,Brasil,Terrestre,2017,Fevereiro,1
Europa,Bulgaria,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Croacia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Dinamarca,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Eslovaquia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Eslovenia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Espanha,Acre,Brasil,Terrestre,2017,Fevereiro,7
Europa,Estonia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Finlandia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Franca,Acre,Brasil,Terrestre,2017,Fevereiro,10
Europa,Grecia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Holanda,Acre,Brasil,Terrestre,2017,Fevereiro,3
Europa,Hungria,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Irlanda,Acre,Brasil,Terrestre,2017,Fevereiro,1
Europa,Italia,Acre,Brasil,Terrestre,2017,Fevereiro,7
Europa,Letonia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Lituania,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Luxemburgo,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Noruega,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Polonia,Acre,Brasil,Terrestre,2017,Fevereiro,1
Europa,Portugal,Acre,Brasil,Terrestre,2017,Fevereiro,1
Europa,Reino Unido,Acre,Brasil,Terrestre,2017,Fevereiro,5
Europa,Republica Tcheca,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Romenia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Russia,Acre,Brasil,Terrestre,2017,Fevereiro,2
Europa,Servia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Suecia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Suica,Acre,Brasil,Terrestre,2017,Fevereiro,3
Europa,Turquia,Acre,Brasil,Terrestre,2017,Fevereiro,1
Europa,Ucrania,Acre,Brasil,Terrestre,2017,Fevereiro,0
Europa,Outros paises,Acre,Brasil,Terrestre,2017,Fevereiro,0
Oceania,Australia,Acre,Brasil,Terrestre,2017,Fevereiro,0
Oceania,Nova Zelandia,Acre,Brasil,Terrestre,2017,Fevereiro,1
Oceania,Outros paises,Acre,Brasil,Terrestre,2017,Fevereiro,0
Continente nao especificado,Paises nao especificados,Acre,Brasil,Terrestre,2017,Fevereiro,0
Africa,Africa do Sul,Acre,Brasil,Terrestre,2017,Marco,0
Africa,Angola,Acre,Brasil,Terrestre,2017,Marco,0
Africa,Cabo Verde,Acre,Brasil,Terrestre,2017,Marco,0
Africa,Egito,Acre,Brasil,Terrestre,2017,Marco,0
Africa,Gana,Acre,Brasil,Terrestre,2017,Marco,0
Africa,Marrocos,Acre,Brasil,Terrestre,2017,Marco,0
Africa,Mocambique,Acre,Brasil,Terrestre,2017,Marco,0
Africa,Nigeria,Acre,Brasil,Terrestre,2017,Marco,0
Africa,Quenia,Acre,Brasil,Terrestre,2017,Marco,0
Africa,Tunisia,Acre,Brasil,Terrestre,2017,Marco,0
Africa,Outros paises,Acre,Brasil,Terrestre,2017,Marco,0
America Central e Caribe,Costa Rica,Acre,Brasil,Terrestre,2017,Marco,0
America Central e Caribe,Cuba,Acre,Brasil,Terrestre,2017,Marco,0
America Central e Caribe,El Salvador,Acre,Brasil,Terrestre,2017,Marco,0
America Central e Caribe,Guatemala,Acre,Brasil,Terrestre,2017,Marco,0
America Central e Caribe,Haiti,Acre,Brasil,Terrestre,2017,Marco,0
America Central e Caribe,Honduras,Acre,Brasil,Terrestre,2017,Marco,0
America Central e Caribe,Nicaragua,Acre,Brasil,Terrestre,2017,Marco,0
America Central e Caribe,Panama,Acre,Brasil,Terrestre,2017,Marco,0
America Central e Caribe,Republica Dominicana,Acre,Brasil,Terrestre,2017,Marco,0
America Central e Caribe,Trinidad e Tobago,Acre,Brasil,Terrestre,2017,Marco,0
America Central e Caribe,Outros paises,Acre,Brasil,Terrestre,2017,Marco,0
America do Norte,Canada,Acre,Brasil,Terrestre,2017,Marco,0
America do Norte,Estados Unidos,Acre,Brasil,Terrestre,2017,Marco,4
America do Norte,Mexico,Acre,Brasil,Terrestre,2017,Marco,1
America do Sul,Argentina,Acre,Brasil,Terrestre,2017,Marco,17
America do Sul,Bolivia,Acre,Brasil,Terrestre,2017,Marco,597
America do Sul,Chile,Acre,Brasil,Terrestre,2017,Marco,16
America do Sul,Colombia,Acre,Brasil,Terrestre,2017,Marco,19
America do Sul,Equador,Acre,Brasil,Terrestre,2017,Marco,9
America do Sul,Guiana,Acre,Brasil,Terrestre,2017,Marco,0
America do Sul,Guiana Francesa,Acre,Brasil,Terrestre,2017,Marco,0
America do Sul,Paraguai,Acre,Brasil,Terrestre,2017,Marco,0
America do Sul,Peru,Acre,Brasil,Terrestre,2017,Marco,967
America do Sul,Suriname,Acre,Brasil,Terrestre,2017,Marco,0
America do Sul,Uruguai,Acre,Brasil,Terrestre,2017,Marco,1
America do Sul,Venezuela,Acre,Brasil,Terrestre,2017,Marco,5
Asia,Arabia Saudita,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Bangladesh,Acre,Brasil,Terrestre,2017,Marco,0
Asia,China,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Cingapura,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Filipinas,Acre,Brasil,Terrestre,2017,Marco,0
Asia,India,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Indonesia,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Ira,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Israel,Acre,Brasil,Terrestre,2017,Marco,1
Asia,Japao,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Libano,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Malasia,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Paquistao,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Republica da Coreia,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Siria,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Tailandia,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Taiwan,Acre,Brasil,Terrestre,2017,Marco,0
Asia,Outros paises,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Alemanha,Acre,Brasil,Terrestre,2017,Marco,6
Europa,Austria,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Belgica,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Bulgaria,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Croacia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Dinamarca,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Eslovaquia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Eslovenia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Espanha,Acre,Brasil,Terrestre,2017,Marco,5
Europa,Estonia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Finlandia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Franca,Acre,Brasil,Terrestre,2017,Marco,7
Europa,Grecia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Holanda,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Hungria,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Irlanda,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Italia,Acre,Brasil,Terrestre,2017,Marco,5
Europa,Letonia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Lituania,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Luxemburgo,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Noruega,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Polonia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Portugal,Acre,Brasil,Terrestre,2017,Marco,1
Europa,Reino Unido,Acre,Brasil,Terrestre,2017,Marco,3
Europa,Republica Tcheca,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Romenia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Russia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Servia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Suecia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Suica,Acre,Brasil,Terrestre,2017,Marco,2
Europa,Turquia,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Ucrania,Acre,Brasil,Terrestre,2017,Marco,0
Europa,Outros paises,Acre,Brasil,Terrestre,2017,Marco,0
Oceania,Australia,Acre,Brasil,Terrestre,2017,Marco,0
Oceania,Nova Zelandia,Acre,Brasil,Terrestre,2017,Marco,0
Oceania,Outros paises,Acre,Brasil,Terrestre,2017,Marco,0
Continente nao especificado,Paises nao especificados,Acre,Brasil,Terrestre,2017,Marco,0
Africa,Africa do Sul,Acre,Brasil,Terrestre,2017,Abril,0
Africa,Angola,Acre,Brasil,Terrestre,2017,Abril,0
Africa,Cabo Verde,Acre,Brasil,Terrestre,2017,Abril,0
Africa,Egito,Acre,Brasil,Terrestre,2017,Abril,0
Africa,Gana,Acre,Brasil,Terrestre,2017,Abril,0
Africa,Marrocos,Acre,Brasil,Terrestre,2017,Abril,0
Africa,Mocambique,Acre,Brasil,Terrestre,2017,Abril,0
Africa,Nigeria,Acre,Brasil,Terrestre,2017,Abril,0
Africa,Quenia,Acre,Brasil,Terrestre,2017,Abril,0
Africa,Tunisia,Acre,Brasil,Terrestre,2017,Abril,0
Africa,Outros paises,Acre,Brasil,Terrestre,2017,Abril,0
America Central e Caribe,Costa Rica,Acre,Brasil,Terrestre,2017,Abril,0
America Central e Caribe,Cuba,Acre,Brasil,Terrestre,2017,Abril,0
America Central e Caribe,El Salvador,Acre,Brasil,Terrestre,2017,Abril,0
America Central e Caribe,Guatemala,Acre,Brasil,Terrestre,2017,Abril,1
America Central e Caribe,Haiti,Acre,Brasil,Terrestre,2017,Abril,0
America Central e Caribe,Honduras,Acre,Brasil,Terrestre,2017,Abril,0
America Central e Caribe,Nicaragua,Acre,Brasil,Terrestre,2017,Abril,0
America Central e Caribe,Panama,Acre,Brasil,Terrestre,2017,Abril,0
America Central e Caribe,Republica Dominicana,Acre,Brasil,Terrestre,2017,Abril,0
America Central e Caribe,Trinidad e Tobago,Acre,Brasil,Terrestre,2017,Abril,0
America Central e Caribe,Outros paises,Acre,Brasil,Terrestre,2017,Abril,0
America do Norte,Canada,Acre,Brasil,Terrestre,2017,Abril,0
America do Norte,Estados Unidos,Acre,Brasil,Terrestre,2017,Abril,6
America do Norte,Mexico,Acre,Brasil,Terrestre,2017,Abril,2
America do Sul,Argentina,Acre,Brasil,Terrestre,2017,Abril,25
America do Sul,Bolivia,Acre,Brasil,Terrestre,2017,Abril,851
America do Sul,Chile,Acre,Brasil,Terrestre,2017,Abril,22
America do Sul,Colombia,Acre,Brasil,Terrestre,2017,Abril,26
America do Sul,Equador,Acre,Brasil,Terrestre,2017,Abril,13
America do Sul,Guiana,Acre,Brasil,Terrestre,2017,Abril,0
America do Sul,Guiana Francesa,Acre,Brasil,Terrestre,2017,Abril,0
America do Sul,Paraguai,Acre,Brasil,Terrestre,2017,Abril,1
America do Sul,Peru,Acre,Brasil,Terrestre,2017,Abril,1377
America do Sul,Suriname,Acre,Brasil,Terrestre,2017,Abril,0
America do Sul,Uruguai,Acre,Brasil,Terrestre,2017,Abril,2
America do Sul,Venezuela,Acre,Brasil,Terrestre,2017,Abril,7
Asia,Arabia Saudita,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Bangladesh,Acre,Brasil,Terrestre,2017,Abril,0
Asia,China,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Cingapura,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Filipinas,Acre,Brasil,Terrestre,2017,Abril,0
Asia,India,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Indonesia,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Ira,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Israel,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Japao,Acre,Brasil,Terrestre,2017,Abril,1
Asia,Libano,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Malasia,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Paquistao,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Republica da Coreia,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Siria,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Tailandia,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Taiwan,Acre,Brasil,Terrestre,2017,Abril,0
Asia,Outros paises,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Alemanha,Acre,Brasil,Terrestre,2017,Abril,8
Europa,Austria,Acre,Brasil,Terrestre,2017,Abril,1
Europa,Belgica,Acre,Brasil,Terrestre,2017,Abril,1
Europa,Bulgaria,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Croacia,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Dinamarca,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Eslovaquia,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Eslovenia,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Espanha,Acre,Brasil,Terrestre,2017,Abril,7
Europa,Estonia,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Finlandia,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Franca,Acre,Brasil,Terrestre,2017,Abril,10
Europa,Grecia,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Holanda,Acre,Brasil,Terrestre,2017,Abril,3
Europa,Hungria,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Irlanda,Acre,Brasil,Terrestre,2017,Abril,1
Europa,Italia,Acre,Brasil,Terrestre,2017,Abril,7
Europa,Letonia,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Lituania,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Luxemburgo,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Noruega,Acre,Brasil,Terrestre,2017,Abril,1
Europa,Polonia,Acre,Brasil,Terrestre,2017,Abril,1
Europa,Portugal,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Reino Unido,Acre,Brasil,Terrestre,2017,Abril,5
Europa,Republica Tcheca,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Romenia,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Russia,Acre,Brasil,Terrestre,2017,Abril,2
Europa,Servia,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Suecia,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Suica,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Turquia,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Ucrania,Acre,Brasil,Terrestre,2017,Abril,0
Europa,Outros paises,Acre,Brasil,Terrestre,2017,Abril,0
Oceania,Australia,Acre,Brasil,Terrestre,2017,Abril,0
Oceania,Nova Zelandia,Acre,Brasil,Terrestre,2017,Abril,0
Oceania,Outros paises,Acre,Brasil,Terrestre,2017,Abril,0
Continente nao especificado,Paises nao especificados,Acre,Brasil,Terrestre,2017,Abril,0
Africa,Africa do Sul,Acre,Brasil,Terrestre,2017,Maio,1
Africa,Angola,Acre,Brasil,Terrestre,2017,Maio,0
Africa,Cabo Verde,Acre,Brasil,Terrestre,2017,Maio,0
Africa,Egito,Acre,Brasil,Terrestre,2017,Maio,0
Africa,Gana,Acre,Brasil,Terrestre,2017,Maio,0
Africa,Marrocos,Acre,Brasil,Terrestre,2017,Maio,0
Africa,Mocambique,Acre,Brasil,Terrestre,2017,Maio,0
Africa,Nigeria,Acre,Brasil,Terrestre,2017,Maio,0
Africa,Quenia,Acre,Brasil,Terrestre,2017,Maio,0
Africa,Tunisia,Acre,Brasil,Terrestre,2017,Maio,0
Africa,Outros paises,Acre,Brasil,Terrestre,2017,Maio,0
America Central e Caribe,Costa Rica,Acre,Brasil,Terrestre,2017,Maio,1
America Central e Caribe,Cuba,Acre,Brasil,Terrestre,2017,Maio,0
America Central e Caribe,El Salvador,Acre,Brasil,Terrestre,2017,Maio,0
America Central e Caribe,Guatemala,Acre,Brasil,Terrestre,2017,Maio,1
America Central e Caribe,Haiti,Acre,Brasil,Terrestre,2017,Maio,0
America Central e Caribe,Honduras,Acre,Brasil,Terrestre,2017,Maio,0
America Central e Caribe,Nicaragua,Acre,Brasil,Terrestre,2017,Maio,0
America Central e Caribe,Panama,Acre,Brasil,Terrestre,2017,Maio,0
